Features,1,2,3,4,5,Mode,Mean,Std
EPS_growth_median,2,2,1,1,1,1,1.4,0.5477225575051661
Return_max,11,27,2,6,8,2,10.8,9.628083921528729
Total_income_growth_median,4,4,3,3,2,3,3.2,0.8366600265340756
Return_from_market_max,6,3,5,17,3,3,6.8,5.848076606885378
Profit_margin_growth_rate_median,3,1,4,2,4,4,2.8,1.3038404810405297
ROI_max,1,5,6,4,5,5,4.2,1.9235384061671346
Operating_assets_Ratio_max,21,6,24,37,6,6,18.8,13.14153720079961
ROA_max,5,7,7,5,7,7,6.2,1.0954451150103321
ROI_mean,7,15,16,18,27,7,16.6,7.162401831787993
Cash_to_total_assets_ratio_mean,16,25,15,7,22,7,17.0,6.96419413859206
Cash_to_total_assets_ratio_max,8,20,14,8,13,8,12.6,4.979959839195493
Debt_to_equity_ratio_min,19,8,18,9,12,8,13.2,5.06951674225463
DuPont_Ratio_median,10,16,8,20,14,8,13.6,4.774934554525329
Liquidity_ratios_max,14,22,9,11,9,9,13.0,5.431390245600108
Equity_Ratio_min,20,9,17,10,11,9,13.4,4.8270073544588685
DuPont_Ratio_max,9,17,19,27,15,9,17.4,6.54217089351845
DuPont_Ratio_mean,15,14,10,21,16,10,15.2,3.96232255123179
Equity_Ratio_median,22,10,26,12,18,10,17.6,6.6932802122726045
Liquidity_ratios_mean,13,32,21,19,10,10,19.0,8.514693182963201
Debt_to_equity_ratio_median,23,11,27,13,20,11,18.8,6.723094525588644
Average_payment_period_median,18,137,11,32,19,11,43.4,52.87059674336956
ROI_median,12,19,12,24,35,12,20.4,9.60728889958036
Equity_Ratio_mean,30,12,32,14,28,12,23.2,9.444575162494075
Debt_to_equity_ratio_mean,31,13,33,15,29,13,24.2,9.444575162494075
DuPont_Ratio_min,33,21,13,35,38,13,28.0,10.583005244258363
Cash_to_total_assets_ratio_median,32,33,22,16,40,16,28.6,9.528903399657278
Liquidity_ratios_median,17,40,50,44,21,17,34.4,14.570518178843194
Beta_mean,27,37,90,95,17,17,53.2,36.60874212534487
ROA_mean,25,18,23,30,31,18,25.4,5.319774431308154
Return_from_market_mean,79,30,20,80,23,20,46.4,30.435177016077958
Debt_to_total_assets_ratio_max,38,56,43,23,36,23,39.2,11.945710527214361
Longterm_debt_to_equity_ratio_median,35,24,36,38,30,24,32.6,5.639148871948674
Beta_max,29,36,79,88,24,24,51.2,29.96164214458213
Sales_growth_rate_median,24,77,57,142,46,24,69.2,44.97443718380475
Working_capital_return_median,43,38,69,57,25,25,46.4,17.052858997833763
Net_return_on_working_capital_median,26,23,35,39,26,26,29.8,6.833739825307955
Debt_to_equity_ratio_max,39,29,41,26,50,26,37.0,9.669539802906858
Total_income_growth_mean,53,50,28,33,37,28,40.2,10.848963084092414
Debt_to_total_assets_ratio_median,41,67,54,28,44,28,46.8,14.618481453283717
EPS_growth_mean,52,47,29,31,39,29,39.6,9.939818911831342
Debt_to_total_assets_ratio_mean,42,66,52,29,43,29,46.4,13.685759021698432
Current_ratio_max,36,44,30,46,58,30,42.8,10.639548862616309
Longterm_debt_to_equity_ratio_min,58,35,31,42,32,31,39.6,11.148990985734988
P_to_E_min,143,31,145,147,164,31,126.0,53.75872022286245
Beta_median,34,46,120,134,33,33,73.4,49.44491884915982
Net_working_capital_min,109,34,34,22,34,34,46.6,35.26754882324543
Debt_to_total_assets_ratio_min,55,93,81,34,54,34,63.4,23.50106380570888
Cash_to_total_assets_ratio_min,60,51,42,36,121,36,62.0,34.21257078911201
Total_asset_turnover_median,37,139,47,99,145,37,93.4,50.26728558416498
Net_return_on_working_capital_max,127,129,37,111,135,37,107.8,40.56106507477337
Current_ratio_mean,70,57,38,56,77,38,59.6,14.976648490233053
