Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market_max,5,1,1,6,2,1,3.0,2.345207879911715
Sale_to_current_assets_max,1,65,61,64,69,1,52.0,28.653097563788805
Operating_assets_Ratio_max,7,2,2,10,1,2,4.4,3.9115214431215892
Debt_to_equity_ratio_min,8,3,5,1,3,3,4.0,2.6457513110645907
Equity_Ratio_mean,17,6,3,8,7,3,8.2,5.263078946776307
Total_income_growth_median,133,44,54,3,46,3,56.0,47.39725730461627
Equity_Ratio_min,9,4,6,2,4,4,5.0,2.6457513110645907
Debt_to_equity_ratio_mean,19,7,4,9,8,4,9.4,5.683308895353129
Equity_Ratio_median,28,11,7,4,9,4,11.8,9.418067742376884
Average_payment_period_median,4,17,15,48,22,4,21.2,16.361540269791227
ROI_max,24,5,14,12,6,5,12.2,7.62889244910426
Total_asset_turnover_median,6,110,126,131,100,6,94.6,51.05683108066931
DuPont_Ratio_max,36,14,12,7,15,7,16.8,11.166915420114904
Debt_to_equity_ratio_median,29,10,8,5,10,10,12.4,9.50263121456368
Profit_margin_before_interest_and_taxes_min,10,137,76,38,87,10,69.6,48.57262603565922
Return_ratio_without_risk_min,87,26,19,68,11,11,42.2,33.34216549656006
Return_mean,11,77,43,181,27,11,67.8,67.83214577175043
EPS_growth_median,145,63,65,11,80,11,72.8,48.06453994370486
Equity_Ratio_max,12,8,11,19,12,12,12.4,4.03732584763727
Debt_to_equity_ratio_max,13,9,10,18,13,13,12.6,3.5071355833500366
Longterm_debt_to_equity_ratio_min,50,15,13,22,17,13,23.4,15.241391012633985
Liquidity_ratios_min,97,13,26,162,25,13,64.6,63.75186271788456
Longterm_debt_to_equity_ratio_median,22,12,9,14,14,14,14.2,4.8166378315169185
Return_max,14,139,106,137,95,14,98.2,50.82027154590971
Debt_to_total_assets_ratio_max,15,25,20,17,19,15,19.2,3.7682887362833544
Debt_to_total_assets_ratio_median,16,32,22,20,23,16,22.6,5.8991524815010505
ROA_max,51,16,21,15,16,16,23.8,15.385057685949702
Cash_to_total_assets_ratio_max,54,22,35,16,50,16,35.4,16.69730517179344
DuPont_Ratio_median,72,28,16,25,45,16,37.2,22.106560112328648
Debt_to_total_assets_ratio_mean,18,37,23,21,24,18,24.6,7.300684899377592
Average_payment_period_min,30,18,18,184,5,18,51.0,74.87322618933953
Return_ratio_without_risk_max,75,45,24,130,18,18,58.4,45.81811868682519
ROI_mean,70,19,27,35,29,19,36.0,19.849433241279208
Profit_margin_before_interest_and_taxes_median,20,53,45,111,36,20,53.0,34.66266002487403
Return_ratio_without_risk_mean,153,43,42,97,20,20,71.0,53.91196527673611
Average_payment_period_mean,150,20,148,153,151,20,124.4,58.38921133223157
ROI_median,80,21,37,42,51,21,46.2,21.8105479069188
Return_median,42,74,41,78,21,21,51.2,24.1805707128678
Sale_to_current_assets_min,21,90,112,104,127,21,90.8,41.251666632997996
DuPont_Ratio_mean,71,23,17,23,41,23,35.0,22.045407685048602
Operating_cash_flow_to_sales_min,23,29,64,142,26,23,56.8,50.435106820547134
Net_return_on_working_capital_median,155,24,82,124,77,24,92.4,49.852783272351
Operating_profit_margin_min,38,182,120,24,106,24,94.0,64.42049363362563
Debt_to_total_assets_ratio_min,25,59,40,28,35,25,37.4,13.427583550289308
P_to_B_min,141,164,25,146,145,25,124.2,56.15781334774352
Profit_margin_before_interest_and_taxes_mean,26,68,58,171,52,26,75.0,55.86591089385369
Gross_profit_margin_min,34,149,109,26,114,26,86.4,53.81728346916073
P_to_S_median,27,47,46,106,38,27,52.8,30.800974010573107
Working_capital_return_median,81,27,59,76,56,27,59.8,21.22969618247044
Cash_to_total_assets_ratio_mean,167,131,149,27,173,27,129.4,59.55501658130908
Profit_margin_growth_rate_max,31,36,30,115,28,28,48.0,37.5699347883384
Return_min,74,76,28,169,42,28,77.8,54.99272679182221
DuPont_Ratio_min,128,66,29,46,116,29,77.0,43.32435804486894
Profit_margin_growth_rate_mean,33,34,31,103,30,30,46.2,31.791508300173493
Net_working_capital_min,130,38,39,30,33,30,54.0,42.64387412044079
Return_ratio_without_risk_median,188,31,32,29,31,31,62.2,70.33278040856909
Longterm_debt_to_equity_ratio_mean,169,126,100,31,155,31,116.2,54.568305819403996
Total_asset_turnover_min,32,112,140,135,123,32,108.4,44.071532762090314
Fixed_asset_turnover_max,163,158,162,32,122,32,127.4,55.971421279077774
Profit_margin_growth_rate_median,35,33,33,13,32,33,29.2,9.121403400793104
Liquidity_ratios_mean,67,62,60,33,59,33,56.2,13.330416347586448
Total_income_growth_mean,94,56,38,34,47,34,53.8,24.0249869927124
Quick_Ratio_min,37,30,34,177,34,34,62.4,64.11162141141027
Average_payment_period_max,149,35,147,152,150,35,126.6,51.23768144637304
Liquidity_ratios_max,69,103,107,36,96,36,82.2,29.77750829065454
Current_ratio_min,43,40,47,170,37,37,67.4,57.474342101497776
Return_from_market_mean,158,58,81,37,108,37,88.4,47.03509328150631
EPS_growth_mean,88,61,44,39,62,39,58.8,19.227584351654787
Quick_Ratio_median,46,41,50,119,39,39,59.0,33.81567683782183
Beta_median,39,69,89,44,71,39,62.4,20.68332661831747
ROA_mean,136,39,63,49,61,39,69.6,38.36404566778639
Current_assets_ratio_median,40,49,36,40,99,40,52.8,26.262140049889307
Fixed_asset_turnover_min,174,143,166,175,40,40,139.6,57.151552909785394
Beta_mean,41,80,83,63,78,41,69.0,17.449928366615147
Current_assets_ratio_mean,58,72,56,41,136,41,72.6,37.10525569242179
Cost_to_sales_ratio_min,101,42,72,122,64,42,80.2,31.499206339207976
Net_working_capital_mean,117,94,95,86,43,43,87.0,27.15695122800054
Fixed_asset_turnover_mean,173,179,185,43,161,43,148.2,59.47436422526936
Quick_Ratio_mean,47,48,57,98,44,44,58.8,22.44326179502436
Operating_cash_flow_to_sales_median,44,82,163,134,68,44,98.2,48.97142023670541
Net_profit_margin_median,45,83,67,150,53,45,79.6,41.92612550665754
Cash_to_total_assets_ratio_median,180,160,173,45,183,45,148.2,58.36694269875714
Net_working_capital_median,89,46,51,54,55,46,59.0,17.131841699011815
EPS_growth_max,56,64,55,47,49,47,54.2,6.685805860178712
Current_ratio_median,49,55,62,113,48,48,65.4,27.19007171744863
P_to_S_min,48,102,71,129,75,48,85.0,31.184932259025352
Return_from_market_min,99,108,48,156,60,48,94.2,42.827561219383014
Total_income_growth_max,64,78,49,51,54,49,59.2,11.987493482792807
Current_debt_to_total_debt_Ratio_min,83,50,53,56,113,50,71.0,26.91653766738954
Current_assets_ratio_min,112,81,66,50,164,50,94.6,45.03110036408171
ROI_min,129,51,90,139,91,51,100.0,35.156791662493895
Liquidity_ratios_median,63,52,52,71,58,52,59.2,8.043631020876083
