Features,1,2,3,4,5,Mode,Mean,Std
Return_mean,1,2,5,1,1,1,2.0,1.7320508075688772
Return_max,2,1,1,3,6,1,2.6,2.073644135332772
Debt_to_total_assets_ratio_max,4,5,2,2,2,2,3.0,1.4142135623730951
Debt_to_total_assets_ratio_mean,6,6,3,5,3,3,4.6,1.51657508881031
Average_payment_period_median,3,13,25,7,8,3,11.2,8.497058314499201
Return_from_market_max,63,3,14,9,5,3,18.8,25.06391828904651
Debt_to_total_assets_ratio_median,5,7,4,4,4,4,4.8,1.3038404810405297
Operating_assets_Ratio_max,65,4,24,10,9,4,22.4,24.945941553687646
Debt_to_total_assets_ratio_min,8,9,6,6,7,6,7.2,1.3038404810405297
Cash_to_total_assets_ratio_max,44,40,7,34,50,7,35.0,16.703293088490067
Average_payment_period_mean,7,143,148,150,141,7,117.8,62.045950713966825
ROI_max,18,8,11,8,11,8,11.2,4.08656334834051
Profit_margin_before_interest_and_taxes_median,9,37,173,25,19,9,52.6,68.0646751259418
Total_income_growth_median,140,169,9,185,176,9,135.8,72.86082623742337
Return_median,36,11,43,15,10,10,23.0,15.378556499229699
DuPont_Ratio_median,52,36,10,23,18,10,27.8,16.498484778912275
Net_return_on_working_capital_median,47,10,61,107,25,10,50.0,37.429934544425805
Profit_margin_before_interest_and_taxes_min,10,99,121,47,48,10,65.0,44.52527372178637
Profit_margin_before_interest_and_taxes_mean,11,42,186,33,23,11,59.0,71.92704637339142
ROA_max,43,12,8,11,12,12,17.2,14.515508947329403
Equity_Ratio_median,77,17,20,12,29,12,31.0,26.448062310876388
Operating_cash_flow_to_sales_min,12,22,170,57,27,12,57.6,65.03306851133507
EPS_growth_median,147,186,12,173,187,12,141.0,73.8951960549534
Debt_to_equity_ratio_median,79,18,21,13,30,13,32.2,26.88308018066382
DuPont_Ratio_mean,58,41,13,30,22,13,32.8,17.455658108475888
Return_min,42,29,178,24,13,13,57.2,68.327885961736
Average_payment_period_max,13,142,147,149,140,13,118.2,58.921133729757784
Longterm_debt_to_equity_ratio_median,60,16,15,14,17,14,24.4,19.932385707686876
Profit_margin_growth_rate_max,14,23,52,20,14,14,24.6,15.805062480104278
Current_debt_to_total_debt_Ratio_max,78,14,66,58,33,14,49.8,25.926820090400597
Profit_margin_growth_rate_mean,15,21,47,21,15,15,23.8,13.311649033834989
