Features,1,2,3,4,5,Mode,Mean,Std
Net_profit_to_Gross_profit_min,4,1,4,2,1,1,2.4,1.5165750888103102
Operating_assets_Ratio_max,1,27,7,10,4,1,9.8,10.183319694480774
Capital_mean,11,15,1,17,13,1,11.4,6.2289646009589745
Capital_min,3,2,2,3,2,2,2.4,0.5477225575051661
Operating_profit_to_sale_min,7,4,10,5,3,3,5.8,2.7748873851023217
Beta_min,32,3,13,11,34,3,18.6,13.685759021698432
Stock_market_value_min,8,10,12,4,7,4,8.2,3.03315017762062
Capital_median,2,5,3,1,5,5,3.2,1.7888543819998317
P_to_B_mean,5,6,21,8,12,5,10.4,6.5038450166036395
Net_profit_to_Gross_profit_mean,16,12,5,13,11,5,11.4,4.03732584763727
Net_profit_to_Gross_profit_median,9,9,6,6,6,6,7.2,1.6431676725154984
Return_from_market_max,6,30,24,28,9,6,19.4,11.1265448365609
Net_profit_to_sale_min,10,7,16,7,8,7,9.6,3.7815340802378077
Operating_profit_to_sale_mean,21,16,8,18,14,8,15.4,4.878524367060187
Beta_median,37,8,26,24,36,8,26.2,11.713240371477058
Operating_profit_to_sale_median,19,13,9,9,10,9,12.0,4.242640687119285
P_to_B_max,12,11,23,16,21,11,16.6,5.319774431308154
Capital_max,22,17,11,21,16,11,17.4,4.39317652729776
Net_profit_to_sale_median,29,19,18,12,15,12,18.6,6.4265076052238514
Net_profit_to_Gross_profit_max,20,14,15,19,17,14,17.0,2.5495097567963922
Return_mean,26,23,25,14,24,14,22.4,4.827007354458868
Return_max,14,25,22,30,26,14,23.4,5.9833101206606365
Fixed_asset_turnover_min,23,43,14,45,25,14,30.0,13.45362404707371
P_to_S_max,15,107,93,119,86,15,84.0,40.620192023179804
Average_payment_period_min,17,92,28,29,23,17,37.8,30.670833050310193
Operating_profit_to_sale_max,24,18,17,20,18,18,19.4,2.7928480087537886
Liquidity_ratios_min,18,97,74,115,49,18,70.6,38.448667077026215
Net_profit_to_sale_mean,28,21,20,22,19,19,22.0,3.5355339059327378
