Features,1,2,3,4,5,Mode,Mean,Std
Net_profit_to_Gross_profit_min,4,1,9,1,1,1,3.2,3.4928498393145966
Capital_median,1,2,14,2,2,2,4.2,5.495452665613635
P_to_B_mean,2,15,22,3,8,2,10.0,8.455767262643882
Net_profit_to_Gross_profit_median,7,3,5,5,3,3,4.6,1.6733200530681511
Capital_min,3,8,10,4,4,4,5.8,3.0331501776206204
Net_profit_to_sale_min,11,4,4,7,6,4,6.4,2.8809720581775866
Operating_profit_to_sale_min,5,5,13,6,5,5,6.8,3.492849839314596
P_to_B_max,6,21,25,11,19,6,16.4,7.733045971672483
Operating_profit_to_sale_median,16,7,3,9,7,7,8.4,4.774934554525329
Net_profit_to_Gross_profit_max,9,11,7,14,12,7,10.6,2.701851217221259
Stock_market_value_min,8,6,15,8,9,8,9.2,3.420526275297414
Net_profit_to_Gross_profit_mean,12,10,1,10,10,10,8.6,4.335896677735761
Net_profit_to_sale_median,21,9,11,13,11,11,13.0,4.69041575982343
Operating_profit_to_sale_max,10,12,12,16,14,12,12.8,2.2803508501982757
Net_working_capital_median,31,25,28,12,29,12,25.0,7.582875444051551
Operating_profit_to_sale_mean,18,13,2,15,13,13,12.2,6.058052492344384
Capital_mean,14,17,16,20,18,14,17.0,2.23606797749979
Net_profit_to_sale_mean,22,16,8,18,16,16,16.0,5.0990195135927845
Net_profit_to_sale_max,17,14,19,17,17,17,16.8,1.7888543819998317
Capital_max,19,19,18,24,21,19,20.2,2.3874672772626644
Beta_median,20,18,23,21,20,20,20.4,1.816590212458495
Net_working_capital_max,23,20,20,23,25,20,22.2,2.16794833886788
Stock_market_value_median,30,22,6,28,22,22,21.6,9.423375191511798
Stock_market_value_max,25,23,24,27,23,23,24.4,1.6733200530681511
Return_max,24,24,29,25,24,24,25.2,2.16794833886788
Beta_min,15,30,21,26,26,26,23.6,5.770615218501403
Net_working_capital_mean,26,26,26,22,28,26,25.6,2.1908902300206643
Return_mean,13,27,27,19,15,27,20.2,6.572670690061993
Operating_assets_Ratio_max,27,102,30,34,31,27,44.8,32.07335342616983
Stock_market_value_mean,28,28,17,29,27,28,25.8,4.969909455915671
Working_capital_return_median,70,29,47,30,32,29,41.6,17.472836060582726
Return_from_market_max,29,115,32,62,33,29,54.2,36.51985761198968
Fixed_asset_turnover_min,34,179,40,64,30,30,69.4,62.67216287954326
Beta_mean,37,31,31,76,34,31,41.8,19.279522815671555
Return_min,32,78,69,71,50,32,60.0,18.774983355518586
Operating_profit_margin_max,119,32,100,47,87,32,77.0,36.462309307009065
DPS_max,153,154,159,32,167,32,133.0,56.73182528352142
Return_from_market_mean,33,59,34,37,35,33,39.6,10.945318634009702
Net_return_on_working_capital_mean,44,53,41,33,67,33,47.6,12.992305415129373
Sale_to_current_assets_median,43,118,33,88,37,33,63.8,37.49266594948938
ROI_mean,115,33,54,43,76,33,64.2,32.583738275403576
