Features,1,2,3,4,5,Mode,Mean,Std
Capital_median,2,1,3,1,1,1,1.6,0.8944271909999159
Capital_mean,11,14,1,12,10,1,9.6,5.029910535983717
Capital_min,3,4,2,5,2,2,3.2,1.3038404810405297
Beta_median,5,2,16,2,8,2,6.6,5.813776741499454
Net_profit_to_Gross_profit_min,4,5,12,8,3,3,6.4,3.646916505762094
P_to_B_mean,1,3,20,3,7,3,6.8,7.694153624668537
Capital_max,12,17,4,9,11,4,10.6,4.722287581247038
Net_profit_to_sale_min,20,9,15,6,5,5,11.0,6.363961030678928
Net_profit_to_Gross_profit_mean,14,16,5,17,15,5,13.4,4.8270073544588685
Beta_min,6,6,17,4,23,6,11.2,8.34865258589672
Stock_market_value_min,24,12,11,10,6,6,12.6,6.767569726275452
P_to_B_max,7,7,21,19,18,7,14.4,6.841052550594828
Operating_profit_to_sale_min,8,8,18,16,4,8,10.8,5.932958789676531
Operating_profit_to_sale_median,22,19,8,20,13,8,16.4,5.770615218501404
Net_profit_to_Gross_profit_max,9,11,9,11,14,9,10.8,2.04939015319192
Operating_profit_to_sale_max,10,10,10,7,12,10,9.8,1.7888543819998317
Net_profit_to_sale_max,16,13,25,13,19,13,17.2,5.019960159204453
Net_profit_to_sale_median,31,25,14,21,20,14,22.2,6.300793600809346
Working_capital_return_median,63,35,66,14,42,14,44.0,21.38924963620744
Net_profit_to_Gross_profit_median,13,15,6,15,9,15,11.6,3.974921382870358
Return_max,23,24,27,31,16,16,24.2,5.540758070878027
Operating_profit_to_sale_mean,18,18,7,18,17,18,15.6,4.8270073544588685
Net_profit_to_sale_mean,27,21,19,22,21,21,22.0,3.0
Fixed_asset_turnover_min,21,32,26,48,49,21,35.2,12.755391017134675
Return_mean,17,22,28,23,22,22,22.4,3.9115214431215892
Beta_mean,52,27,22,30,33,22,32.8,11.476062042355819
Return_from_market_mean,15,23,23,39,25,23,25.0,8.717797887081348
Net_working_capital_max,19,20,30,24,24,24,23.4,4.33589667773576
Stock_market_value_mean,33,30,24,29,31,24,29.4,3.361547262794322
Stock_market_value_max,25,26,31,25,26,25,26.6,2.5099800796022267
